sponsor_zip,total,lat,lng,major_city,state
42234,1,36.72,-87.19,Guthrie,KY
42240,22,36.9,-87.5,Hopkinsville,KY
42261,91,37.2,-86.7,Morgantown,KY
42262,3,36.69,-87.44,Oak Grove,KY
42274,1,36.96,-86.59,Rockfield,KY
42276,18,36.9,-86.9,Russellville,KY
42301,63,37.8,-87.3,Owensboro,KY
42303,103,37.8,-87,Owensboro,KY
42320,88,37.4,-86.9,Beaver Dam,KY
42323,1,37.18,-87.04,Beechmont,KY
42330,7,37.3,-87.1,Central City,KY
42345,2,37.2,-87.2,Greenville,KY
42347,3,37.5,-86.9,Hartford,KY
42355,1,37.86,-86.98,Maceo,KY
42367,1,37.24,-87.16,Powderly,KY
42372,1,37.4,-87.28,Sacramento,KY
42376,2,37.6,-87.1,Utica,KY
42408,1,37.2,-87.7,Dawson Springs,KY
42409,1,37.5,-87.7,Dixon,KY
42410,1,37.28,-87.52,Earlington,KY
42420,23,37.8,-87.5,Henderson,KY
42431,39,37.3,-87.5,Madisonville,KY
42445,2,37.2,-87.9,Princeton,KY
42452,5,37.7,-87.5,Robards,KY
42455,56,37.6,-87.5,Sebree,KY
42501,41,37.1,-84.5,Somerset,KY
42503,29,37.1,-84.6,Somerset,KY
42518,2,36.9,-84.6,Bronston,KY
42528,1,37.2,-85,Dunnville,KY
42533,2,37.07,-84.59,Ferguson,KY
42539,19,37.3,-85,Liberty,KY
42541,1,37.37,-84.8,Middleburg,KY
42553,3,37.2,-84.7,Science Hill,KY
42567,1,37.3,-84.6,Eubank,KY
42602,8,36.8,-85.1,Albany,KY
42629,3,36.9,-85.1,Jamestown,KY
42633,51,36.8,-84.8,Monticello,KY
42642,25,37.1,-85.1,Russell Springs,KY
42701,17,37.7,-85.9,Elizabethtown,KY
42718,9,37.4,-85.4,Campbellsville,KY
42728,5,37.1,-85.3,Columbia,KY
42743,8,37.3,-85.5,Greensburg,KY
42748,9,37.6,-85.7,Hodgenville,KY
43004,1,40.02,-82.8,Blacklick,OH
43014,3,40.5,-82.3,Danville,OH
43015,12,40.3,-83.1,Delaware,OH
43016,19,40.1,-83.14,Dublin,OH
43017,15,40.12,-83.14,Dublin,OH
43019,1,40.5,-82.6,Fredericktown,OH
43021,2,40.21,-82.87,Galena,OH
43022,1,40.34,-82.35,Gambier,OH
43026,11,40.02,-83.18,Hilliard,OH
43031,1,40.2,-82.7,Johnstown,OH
43035,9,40.19,-83,Lewis Center,OH
43040,3,40.3,-83.4,Marysville,OH
43050,4,40.4,-82.5,Mount Vernon,OH
43054,1,40.09,-82.81,New Albany,OH
43062,8,40,-82.7,Pataskala,OH
43064,5,40.1,-83.3,Plain City,OH
